station_id,reading_time,ghi_wm2,dni_wm2,dhi_wm2,ambient_temp,temp_unit,wind_speed_ms,relative_humidity_pct,barometric_pressure_hpa,solar_zenith_angle_deg,cloud_opacity_pct,precipitation_mm
WS-North,2025-04-01 17:00:00,256.65,213.446,105.677,21.09,C,7.781,68.39,1008.62,64.984,27.65,0.217
WS-North,2025-04-01 17:15:00,177.717,115.595,95.355,20.83,C,7.636,68.02,1016.8,35.778,38.31,0.094
WS-North,2025-04-01 17:30:00,223.984,178.395,74.724,20.62,C,9.817,62.56,1000.75,32.094,22.52,0.253
WS-North,2025-04-01 17:45:00,89.915,70.782,27.218,22.43,C,3.87,53.19,1028.38,15.042,24.01,0.466
WS-North,2025-04-01 18:00:00,75.285,52.843,37.582,15.79,C,0.405,34.86,1011.83,34.288,30.17,0.169
WS-North,2025-04-01 18:15:00,45.033,0.0,15.969,22.37,C,7.732,43.1,1010.57,70.638,50.23,0.273
WS-North,2025-04-01 18:30:00,3.713,0.047,2.704,15.48,C,2.227,75.97,1005.72,67.276,58.26,0.378
WS-North,2025-04-01 18:45:00,5.556,3.774,1.904,20.28,C,4.045,39.93,1021.06,67.379,61.22,0.581
WS-North,2025-04-01 19:00:00,6.585,2.186,5.57,16.7,C,7.914,61.01,1025.77,71.849,43.93,0.249
WS-North,2025-04-01 19:15:00,10.764,1.081,0.46,15.89,C,4.067,70.38,1002.68,48.45,55.23,0.106
WS-North,2025-04-01 19:30:00,12.483,1.913,1.455,16.15,C,5.827,51.26,1008.93,58.594,26.18,0.026
WS-North,2025-04-01 19:45:00,6.022,0.372,1.232,14.46,C,3.701,45.13,1020.46,57.115,47.0,0.25
WS-North,2025-04-01 20:00:00,5.859,4.137,3.251,16.04,C,2.378,58.22,1016.96,19.454,26.89,0.186
WS-North,2025-04-01 20:15:00,6.2,0.829,2.643,17.19,C,0.835,62.81,1006.62,57.856,22.86,0.058
WS-North,2025-04-01 20:30:00,2.023,2.394,5.615,19.93,C,7.89,53.45,1014.99,66.387,48.25,0.358
WS-North,2025-04-01 20:45:00,12.269,0.593,1.844,17.2,C,10.495,66.59,1020.97,51.07,36.59,0.819
WS-North,2025-04-01 21:00:00,6.232,6.126,2.636,12.56,C,7.867,62.07,1005.81,16.244,29.86,0.182
WS-North,2025-04-01 21:15:00,1.537,0.467,0.745,13.78,C,11.17,52.27,1017.28,51.257,34.51,0.114
WS-North,2025-04-01 21:30:00,3.795,3.195,1.176,18.22,C,15.188,82.13,1021.66,63.577,22.6,0.025
WS-North,2025-04-01 21:45:00,1.482,4.55,2.949,16.81,C,7.818,58.29,1013.74,40.832,36.8,0.302
WS-North,2025-04-01 22:00:00,8.476,3.985,2.056,13.97,C,1.035,76.16,1007.92,51.039,19.83,0.022
WS-North,2025-04-01 22:15:00,4.582,4.344,2.746,15.12,C,6.179,63.73,1017.74,17.372,0.0,0.087
WS-North,2025-04-01 22:30:00,11.095,0.458,5.206,13.75,C,10.706,46.59,1009.33,66.121,25.26,0.361
WS-North,2025-04-01 22:45:00,2.867,0.822,0.805,19.99,C,2.193,58.26,1032.19,70.875,42.32,1.028
WS-North,2025-04-01 23:00:00,2.018,2.479,1.408,23.73,C,3.902,58.63,1004.97,51.588,44.09,0.185
WS-North,2025-04-01 23:15:00,4.111,5.81,2.964,18.68,C,7.373,42.12,1015.6,57.902,7.13,0.02
WS-North,2025-04-01 23:30:00,2.944,0.6,5.853,20.76,C,1.016,70.43,1024.2,15.29,40.13,0.204
WS-North,2025-04-01 23:45:00,5.834,2.77,4.204,15.57,C,5.535,57.98,1009.42,62.931,64.93,0.393
WS-North,2025-04-02 00:00:00,3.661,5.516,6.83,18.02,C,3.477,67.16,1003.18,83.352,11.74,0.517
WS-North,2025-04-02 00:15:00,12.233,2.043,1.593,19.94,C,6.497,61.42,1004.17,54.901,0.0,0.06
WS-North,2025-04-02 00:30:00,1.784,3.673,6.553,18.53,C,10.151,53.73,1006.22,66.031,77.37,0.444
WS-North,2025-04-02 00:45:00,1.107,4.806,3.177,14.29,C,1.07,34.39,1008.64,61.84,8.38,0.025
WS-North,2025-04-02 01:00:00,5.969,5.202,3.345,19.8,C,2.806,46.83,1013.7,24.594,0.0,0.254
WS-North,2025-04-02 01:15:00,6.714,3.067,2.345,16.16,C,2.455,70.12,1013.83,41.614,21.8,0.187
WS-North,2025-04-02 01:30:00,0.124,1.295,6.677,23.07,C,1.088,49.35,1018.52,80.445,65.14,0.024
WS-North,2025-04-02 01:45:00,2.053,3.613,4.548,21.46,C,8.245,48.07,1016.76,66.404,13.78,0.235
WS-North,2025-04-02 02:00:00,4.049,3.149,5.427,13.7,C,11.027,58.17,1000.12,11.697,38.99,0.075
WS-North,2025-04-02 02:15:00,6.718,0.193,5.253,18.61,C,3.954,38.26,1022.03,31.427,0.0,0.259
WS-North,2025-04-02 02:30:00,7.333,4.302,8.215,21.92,C,8.584,56.88,1007.36,81.64,17.74,0.045
WS-North,2025-04-02 02:45:00,2.449,2.078,4.762,22.6,C,6.503,58.74,999.94,76.825,31.1,0.766
WS-North,2025-04-02 03:00:00,5.045,2.293,4.011,17.1,C,7.708,72.24,1016.21,26.515,46.89,0.666
WS-North,2025-04-02 03:15:00,3.155,0.857,3.933,14.52,C,6.447,51.23,1011.84,63.604,37.07,0.511
WS-North,2025-04-02 03:30:00,10.691,2.115,6.857,20.58,C,3.946,53.99,1008.04,56.663,54.44,0.642
WS-North,2025-04-02 03:45:00,6.122,4.559,3.595,15.49,C,7.467,70.28,1008.96,19.55,27.77,0.072
WS-North,2025-04-02 04:00:00,3.739,1.659,0.146,17.33,C,9.46,75.46,1020.35,39.049,22.26,0.064
WS-North,2025-04-02 04:15:00,13.377,3.897,6.931,18.68,C,14.043,50.16,1012.83,80.516,32.58,0.041
WS-North,2025-04-02 04:30:00,11.739,1.8,5.501,15.17,C,9.86,39.23,1011.62,42.861,17.04,0.009
WS-North,2025-04-02 04:45:00,5.063,0.486,0.767,18.24,C,10.843,68.94,1014.74,68.17,66.7,0.161
WS-North,2025-04-02 05:00:00,13.379,2.581,4.173,19.06,C,1.887,44.44,1002.55,18.813,18.96,0.344
WS-North,2025-04-02 05:15:00,8.115,1.532,3.16,20.8,C,2.775,48.35,1013.65,81.93,29.89,0.536
WS-North,2025-04-02 05:30:00,9.722,0.269,6.644,13.3,C,6.719,69.47,1011.02,34.155,45.12,0.413
WS-North,2025-04-02 05:45:00,5.788,0.0,3.841,18.16,C,6.021,49.31,1019.49,23.931,50.69,0.041
WS-North,2025-04-02 06:00:00,122.907,82.996,50.024,20.9,C,10.914,52.2,1013.88,71.913,31.96,0.052
WS-North,2025-04-02 06:15:00,197.06,158.569,85.219,17.9,C,4.349,55.35,1028.16,52.379,9.59,0.053
WS-North,2025-04-02 06:30:00,165.019,137.515,61.986,21.07,C,2.178,55.58,1017.72,20.092,53.23,0.442
WS-North,2025-04-02 06:45:00,222.263,175.495,74.851,19.18,C,4.232,59.84,1014.47,60.828,12.13,0.017
WS-North,2025-04-02 07:00:00,192.367,144.406,80.306,16.99,C,1.054,72.28,1007.97,22.193,72.28,0.739
WS-North,2025-04-02 07:15:00,244.329,205.151,88.051,21.04,C,12.44,60.7,1004.11,50.09,30.75,0.23
WS-North,2025-04-02 07:30:00,358.332,301.2,129.483,17.95,C,10.395,37.59,1005.38,74.727,55.38,0.456
WS-North,2025-04-02 07:45:00,352.479,274.959,153.416,24.78,C,9.019,47.36,1027.22,12.698,36.68,0.73
WS-North,2025-04-02 08:00:00,545.345,405.777,217.22,25.45,C,4.764,45.94,1017.43,77.141,24.27,0.102
WS-North,2025-04-02 08:15:00,349.237,289.363,121.443,25.03,C,6.094,48.49,1010.11,35.915,2.56,0.141
WS-North,2025-04-02 08:30:00,395.65,296.181,156.062,22.86,C,7.513,38.53,1023.25,75.868,18.03,0.046
WS-North,2025-04-02 08:45:00,359.853,279.14,133.129,25.26,C,4.061,42.87,996.59,16.786,13.03,0.001
WS-North,2025-04-02 09:00:00,645.185,429.004,280.306,24.43,C,5.197,28.48,1005.92,28.752,8.2,0.121
WS-North,2025-04-02 09:15:00,677.672,508.979,245.772,31.17,C,7.575,43.39,1011.37,17.722,18.61,0.038
WS-North,2025-04-02 09:30:00,622.5,497.145,200.108,29.36,C,5.9,43.95,992.16,43.627,59.97,0.425
WS-North,2025-04-02 09:45:00,839.508,619.824,333.951,27.21,C,3.724,25.22,1026.01,27.655,45.69,0.222
WS-North,2025-04-02 10:00:00,713.186,496.973,294.228,30.98,C,10.307,43.79,1024.78,59.825,37.01,0.223
WS-North,2025-04-02 10:15:00,707.877,461.29,375.696,29.78,C,7.271,45.61,1008.96,41.745,36.36,0.015
WS-North,2025-04-02 10:30:00,432.665,297.883,167.099,28.24,C,7.107,52.83,1013.36,68.0,21.1,0.03
WS-North,2025-04-02 10:45:00,801.039,672.338,220.078,30.01,C,7.072,27.79,1011.48,13.713,13.41,0.206
WS-North,2025-04-02 11:00:00,867.458,616.197,342.344,30.06,C,4.614,29.1,1023.43,40.387,9.75,0.365
WS-North,2025-04-02 11:15:00,681.979,492.893,335.325,31.9,C,5.352,37.91,1020.1,54.116,58.33,0.038
WS-North,2025-04-02 11:30:00,360.003,304.949,94.684,26.55,C,8.85,20.63,1013.42,51.309,0.06,0.255
WS-North,2025-04-02 11:45:00,881.588,676.831,400.487,25.69,C,5.14,42.81,1032.68,73.805,51.54,0.916
WS-North,2025-04-02 12:00:00,864.452,581.693,392.144,32.92,C,13.439,40.23,1005.45,28.335,18.5,0.063
WS-North,2025-04-02 12:15:00,889.634,607.223,364.788,26.43,C,6.05,48.49,1009.9,48.909,38.03,0.517
WS-North,2025-04-02 12:30:00,751.541,526.455,358.594,29.34,C,16.58,20.33,1017.16,34.028,18.12,0.193
WS-North,2025-04-02 12:45:00,910.626,746.988,358.04,31.11,C,7.982,47.65,1015.99,59.806,48.95,0.049
WS-North,2025-04-02 13:00:00,658.838,429.439,293.254,26.26,C,6.313,60.86,1018.53,21.009,49.4,0.083
WS-North,2025-04-02 13:15:00,978.889,752.657,302.32,30.73,C,3.44,37.16,1012.58,34.841,40.95,0.456
WS-North,2025-04-02 13:30:00,366.235,255.44,167.274,27.76,C,2.768,23.46,1021.75,29.719,9.1,0.123
WS-North,2025-04-02 13:45:00,707.008,529.052,292.072,26.09,C,8.779,44.63,1020.68,24.964,54.41,0.15
WS-North,2025-04-02 14:00:00,532.273,368.573,207.774,32.6,C,8.601,39.64,1020.69,53.449,35.56,0.238
WS-North,2025-04-02 14:15:00,639.338,534.574,260.266,27.95,C,8.907,43.72,1015.11,67.292,28.19,0.062
WS-North,2025-04-02 14:30:00,787.935,564.147,340.473,30.92,C,2.349,31.2,1021.87,13.311,39.03,0.206
WS-North,2025-04-02 14:45:00,733.898,566.349,316.504,26.01,C,11.081,62.7,1008.23,13.025,57.37,1.04
WS-North,2025-04-02 15:00:00,640.865,420.904,307.933,24.76,C,3.821,32.72,1025.84,53.455,24.99,0.325
WS-North,2025-04-02 15:15:00,540.881,452.238,179.177,22.14,C,7.668,52.99,1016.54,61.813,28.56,0.094
WS-North,2025-04-02 15:30:00,496.735,347.393,242.53,24.33,C,4.176,30.14,1018.22,58.866,51.21,0.166
WS-North,2025-04-02 15:45:00,525.863,434.387,135.833,21.73,C,8.912,48.62,1001.43,31.256,48.49,0.175
WS-North,2025-04-02 16:00:00,344.026,239.009,135.857,29.19,C,4.666,43.02,1001.68,17.141,13.84,0.223
WS-North,2025-04-02 16:15:00,480.957,383.732,159.731,23.24,C,9.709,58.37,1002.87,38.602,25.55,0.118
WS-North,2025-04-02 16:30:00,376.862,296.352,160.331,27.09,C,7.814,47.4,1024.41,19.838,52.51,0.25
WS-North,2025-04-02 16:45:00,156.005,132.42,38.088,22.05,C,7.018,48.63,1010.06,22.711,54.09,0.042
WS-North,2025-04-02 17:00:00,280.519,198.735,104.597,23.89,C,1.414,58.24,1005.94,17.188,36.93,0.093
WS-North,2025-04-02 17:15:00,253.81,205.701,107.768,20.87,C,4.114,64.53,1014.45,37.967,34.46,0.386
WS-North,2025-04-02 17:30:00,162.657,115.385,59.837,19.45,C,1.638,69.28,992.92,33.884,26.75,0.653
WS-North,2025-04-02 17:45:00,163.113,134.708,60.47,20.56,C,11.829,59.02,1034.6,17.457,53.48,0.07
WS-North,2025-04-02 18:00:00,63.274,41.604,31.19,16.63,C,9.904,66.01,1026.12,60.755,44.52,0.046
WS-North,2025-04-02 18:15:00,37.536,0.0,23.331,18.83,C,2.392,32.2,1012.52,69.185,0.0,0.092
WS-North,2025-04-02 18:30:00,0.511,0.203,2.094,17.86,C,6.744,48.58,1011.19,63.274,34.59,0.428
WS-North,2025-04-02 18:45:00,3.146,4.181,1.977,19.66,C,2.446,42.74,1017.58,64.451,40.34,0.289
WS-North,2025-04-02 19:00:00,9.002,1.706,12.996,19.83,C,4.586,70.05,1016.45,54.263,23.48,0.301
WS-North,2025-04-02 19:15:00,9.055,3.935,2.059,17.74,C,9.899,52.17,1015.67,53.724,23.21,0.045
WS-North,2025-04-02 19:30:00,7.397,1.468,8.396,17.88,C,8.829,65.11,1012.27,47.816,37.06,0.051
WS-North,2025-04-02 19:45:00,8.79,5.649,2.387,17.4,C,2.307,37.33,1018.08,25.473,31.11,0.094
WS-North,2025-04-02 20:00:00,0.684,1.111,6.705,16.15,C,13.545,49.57,1014.89,77.697,49.17,0.022
WS-North,2025-04-02 20:15:00,15.319,3.616,3.149,18.89,C,10.593,49.38,1009.94,15.01,28.58,0.235
WS-North,2025-04-02 20:30:00,10.503,6.652,1.154,20.02,C,10.347,57.17,1008.4,70.466,27.06,0.275
WS-North,2025-04-02 20:45:00,9.34,0.139,2.163,22.06,C,5.396,55.29,1021.61,70.577,55.71,0.06
WS-North,2025-04-02 21:00:00,5.95,1.134,3.308,20.22,C,4.573,68.63,1013.59,80.766,24.44,1.129
WS-North,2025-04-02 21:15:00,6.672,0.424,3.808,20.04,C,10.852,28.45,1012.45,34.517,20.07,0.142
WS-North,2025-04-02 21:30:00,5.791,4.478,2.573,22.85,C,6.915,31.29,1006.7,44.34,61.49,0.517
WS-North,2025-04-02 21:45:00,1.506,1.061,0.826,15.91,C,5.725,78.78,1009.23,27.248,0.0,1.112
WS-North,2025-04-02 22:00:00,12.244,7.661,5.463,18.72,C,1.594,75.81,1011.54,75.882,18.52,0.195
WS-North,2025-04-02 22:15:00,9.392,3.324,0.258,16.78,C,2.234,69.33,1011.08,75.408,29.85,0.192
WS-North,2025-04-02 22:30:00,9.85,1.352,3.081,18.71,C,1.1,54.84,1015.71,15.439,30.46,0.226
WS-North,2025-04-02 22:45:00,7.002,1.036,2.33,13.44,C,1.075,81.04,1014.32,16.428,25.13,0.058
WS-North,2025-04-02 23:00:00,22.567,5.747,4.749,16.74,C,12.675,48.36,1012.23,78.523,45.67,0.613
WS-North,2025-04-02 23:15:00,5.907,3.767,2.598,9.53,C,0.411,41.17,1010.94,34.121,76.01,0.001
WS-North,2025-04-02 23:30:00,9.351,2.285,3.28,15.58,C,10.343,41.24,1011.54,37.685,27.91,0.128
WS-North,2025-04-02 23:45:00,4.527,1.728,6.275,14.32,C,9.492,65.71,1021.32,19.057,53.94,0.37
WS-North,2025-04-03 00:00:00,18.341,0.913,5.546,19.35,C,3.397,46.67,1012.29,67.953,35.98,0.555
WS-North,2025-04-03 00:15:00,11.035,1.458,0.149,18.34,C,2.889,60.38,1027.76,80.542,26.26,0.646
WS-North,2025-04-03 00:30:00,0.056,1.909,6.249,20.93,C,10.945,40.48,1021.87,60.441,15.74,0.11
WS-North,2025-04-03 00:45:00,13.12,5.391,3.427,19.31,C,2.646,35.3,1004.87,42.855,8.21,0.277
WS-North,2025-04-03 01:00:00,2.399,0.975,6.03,16.11,C,7.582,57.17,1004.72,69.77,43.76,0.131
WS-North,2025-04-03 01:15:00,6.007,0.92,2.303,13.32,C,3.326,47.44,1030.63,76.386,35.35,0.024
WS-North,2025-04-03 01:30:00,1.412,2.836,1.473,18.56,C,14.121,48.62,1004.86,36.809,45.25,0.113
WS-North,2025-04-03 01:45:00,8.083,2.312,8.85,15.41,C,0.64,50.1,994.81,67.797,33.12,0.071
WS-North,2025-04-03 02:00:00,2.877,5.692,5.805,19.62,C,12.698,57.0,1021.56,20.838,56.2,0.676
WS-North,2025-04-03 02:15:00,1.188,1.005,1.009,18.98,C,7.403,65.97,1029.84,40.886,15.08,0.091
WS-North,2025-04-03 02:30:00,4.401,6.257,2.312,13.67,C,1.474,61.31,1010.82,67.646,44.09,0.114
WS-North,2025-04-03 02:45:00,3.068,1.169,0.211,19.05,C,10.24,59.33,1015.56,78.353,53.59,0.36
WS-North,2025-04-03 03:00:00,4.087,0.634,1.085,18.75,C,6.974,25.96,1009.59,49.094,51.72,0.114
WS-North,2025-04-03 03:15:00,2.37,0.989,10.141,14.15,C,4.098,42.71,1020.97,33.866,43.69,0.157
WS-North,2025-04-03 03:30:00,15.058,0.491,10.925,20.85,C,0.549,53.48,1021.71,50.788,78.35,0.126
WS-North,2025-04-03 03:45:00,5.188,3.036,8.128,24.17,C,6.304,49.15,986.35,57.83,39.38,0.057
WS-North,2025-04-03 04:00:00,2.672,3.149,5.64,19.18,C,5.695,39.3,1017.12,32.541,31.89,0.131
WS-North,2025-04-03 04:15:00,2.989,0.567,0.343,17.18,C,1.16,67.5,1005.09,33.694,33.41,0.152
WS-North,2025-04-03 04:30:00,1.113,1.967,1.311,19.31,C,12.207,43.75,1021.95,19.882,29.64,0.116
WS-North,2025-04-03 04:45:00,7.095,1.229,4.49,12.7,C,0.653,50.06,1003.01,81.231,9.11,0.057
WS-North,2025-04-03 05:00:00,7.477,1.689,5.52,15.21,C,0.909,54.09,1015.4,14.716,48.01,0.291
WS-North,2025-04-03 05:15:00,7.052,1.199,1.198,18.21,C,7.245,68.54,1011.53,83.16,49.24,0.114
WS-North,2025-04-03 05:30:00,1.293,2.304,6.627,16.17,C,3.99,37.54,1007.3,19.56,54.12,0.046
WS-North,2025-04-03 05:45:00,51.109,35.117,25.883,16.73,C,1.649,57.07,1001.94,61.773,0.0,0.226
WS-North,2025-04-03 06:00:00,37.155,0.0,21.697,17.43,C,3.937,50.48,1002.08,76.352,0.0,0.257
WS-North,2025-04-03 06:15:00,109.969,88.337,44.611,19.43,C,5.782,66.13,1009.16,49.713,51.09,0.088
WS-North,2025-04-03 06:30:00,190.276,148.966,79.545,21.61,C,9.16,48.15,1007.8,40.666,55.32,0.804
WS-North,2025-04-03 06:45:00,152.974,127.892,42.767,23.27,C,2.215,60.14,1027.96,37.182,0.0,0.391
WS-North,2025-04-03 07:00:00,277.77,234.685,89.535,24.61,C,17.008,41.99,1011.67,29.126,39.93,0.472
WS-North,2025-04-03 07:15:00,256.054,183.455,97.452,23.31,C,7.157,46.06,1018.14,22.493,23.34,0.063
WS-North,2025-04-03 07:30:00,393.771,311.792,157.126,20.43,C,5.298,54.16,1004.82,81.939,55.31,0.424
WS-North,2025-04-03 07:45:00,344.115,265.26,108.68,27.06,C,18.725,48.16,1005.21,81.502,29.32,0.125
WS-North,2025-04-03 08:00:00,342.557,228.114,160.0,23.24,C,3.442,43.14,1006.82,37.782,13.41,0.53
WS-North,2025-04-03 08:15:00,235.488,159.55,106.367,24.89,C,14.256,44.55,1015.55,26.813,34.91,1.098
