vdc1,vdc2,idc1,idc2,irr,pvt,f_nv
247.599,232.318,9.1437,8.4228,979.76,56.8853,2
320.436,328.651,1.77,0.2319,301.805,16.5011,4
262.304,205.429,8.6309,8.1923,892.966,43.8037,1
248.185,228.976,9.125,8.5449,979.765,57.0539,2
285.713,273.874,6.2891,6.162,680.429,29.6927,0
260.856,203.821,9.1036,8.7693,950.091,43.8354,1
1.6073,270.505,0.1078,8.5638,928.669,50.2616,3
258.986,242.638,9.2292,8.6507,970.428,45.5567,2
271.463,267.583,5.235,4.946,626.151,42.719,0
305.272,241.249,2.2482,2.5494,356.526,30.0763,4
250.577,262.446,9.372,8.864,988.45,52.6589,0
270.498,284.735,6.0635,4.7466,644.893,42.417,4
267.606,280.334,7.5387,7.171,818.114,40.8461,0
267.672,244.995,9.2316,8.8247,989.621,40.9384,2
258.083,196.884,8.6302,8.4415,913.527,51.9522,1
265.317,270.005,7.3488,7.119,847.828,47.7487,0
259.079,202.666,9.1132,8.7617,947.498,44.4272,1
261.363,206.137,9.045,8.5963,955.107,46.0422,1
279.928,305.944,5.0898,1.9204,558.558,39.159,4
260.646,243.682,9.0458,8.4732,955.774,47.3307,2
277.332,284.805,2.5649,0.9664,293.764,38.6772,4
263.723,205.805,7.8687,7.4819,816.777,41.5451,1
264.816,2.1092,8.3181,0.0411,865.451,40.342,3
266.488,206.57,9.0848,8.7564,960.451,41.9246,1
258.793,318.711,7.6565,2.0733,804.539,51.1895,4
263.316,200.492,7.9165,7.6821,825.72,43.5803,1
259.463,203.038,9.0396,8.6679,949.44,46.9892,1
268.438,270.426,7.6429,7.537,876.002,44.5454,0
266.934,2.1082,8.1738,0.0423,861.772,41.5647,3
263.88,2.1481,9.0404,0.0466,952.632,43.088,3
254.904,264.659,9.08,8.6518,957.516,47.0104,0
267.802,271.818,9.0212,8.8761,966.85,43.8399,0
320.875,306.335,1.9283,1.7306,270.76,14.7761,4
257.927,199.015,7.9992,7.6879,829.586,47.3525,1
309.53,291.819,1.4636,0.5584,237.534,20.6298,4
265.337,2.0927,8.087,0.0436,853.597,43.6674,3
266.732,206.316,9.0752,8.8148,963.481,42.5433,1
262.057,242.695,8.6826,8.2486,907.369,46.3796,2
267.264,261.476,6.4678,6.281,683.831,44.3409,0
262.91,201.28,9.0001,8.8061,950.152,45.4868,1
252.396,193.506,8.8149,8.5642,918.084,52.6667,1
255.01,201.292,8.8595,8.3836,911.556,46.3066,1
266.594,278.376,6.2301,5.4214,652.126,41.7475,4
271.319,278.88,8.8245,8.567,948.092,40.7539,0
251.222,2.1539,9.1811,0.0467,962.5,50.9924,3
318.894,298.567,0.3346,6.7712,805.776,6.9045,4
262.134,201.067,8.6553,8.3873,915.221,47.0459,1
274.616,297.917,6.9821,5.6282,777.997,41.1061,4
262.764,265.187,7.4693,7.3081,846.545,50.8017,0
257.88,241.145,9.1781,8.6493,958.188,46.0592,2
252.052,195.741,8.8526,8.5081,921.016,52.798,1
265.109,245.804,9.3093,8.7968,989.405,40.5293,2
262.55,205.486,9.3089,8.9705,987.512,43.6736,1
259.257,207.445,9.1073,8.5473,948.19,45.4023,1
253.396,198.006,9.1192,8.7119,955.263,49.238,1
287.946,264.733,5.1266,4.9409,553.494,31.2401,4
1.122,270.754,0.1178,8.7944,958.536,45.6637,3
1.6173,274.98,0.1126,8.4419,931.703,48.332,3
1.5852,271.318,0.108,8.5371,926.197,50.4772,3
287.294,297.063,5.6518,4.4386,611.208,29.9756,4
272.404,274.624,7.8271,7.6827,882.493,38.1062,0
254.616,199.017,8.7378,8.3596,907.549,51.0309,1
257.932,200.785,8.0152,7.6365,832.096,47.3992,1
311.399,244.592,4.4482,0.8767,662.372,19.5609,4
264.147,2.1503,9.0198,0.0427,951.56,43.3964,3
248.325,2.1684,9.0139,0.0462,936.705,53.5675,3
267.704,2.1249,8.2401,0.0409,865.854,40.3225,3
283.512,277.821,5.8022,5.6112,638.383,28.5296,0
267.821,245.597,9.1319,8.7247,976.877,42.4477,2
264.891,241.402,8.4341,8.0904,881.732,42.5564,2
280.123,251.914,3.9054,3.7116,425.128,31.4109,4
259.316,2.1124,8.9256,0.0394,923.201,43.0692,3
252.865,194.777,8.8182,8.5341,918.814,52.2843,1
256.32,265.422,9.0663,8.6784,961.906,46.8046,0
261.56,2.1174,8.8448,0.0428,926.119,43.5741,3
290.253,322.26,5.2261,1.196,569.402,31.1802,4
263.205,199.131,7.9281,7.756,829.067,43.9016,1
266.091,243.863,9.1907,8.7907,976.758,42.3518,2
1.6504,272.959,0.1048,8.9339,992.27,48.766,3
269.591,248.322,9.2062,8.728,991.437,38.8189,2
267.248,259.854,6.7712,6.5829,713.437,43.5721,0
273.066,279.492,3.1024,2.2865,349.963,35.44,4
255.093,239.726,8.2289,7.6988,844.779,50.4994,2
263.186,2.1689,9.088,0.0456,952.978,42.4554,3
275.23,270.022,5.5595,5.336,678.015,39.6281,0
262.744,203.863,9.1788,8.8581,963.368,42.8388,1
250.472,228.376,9.0811,8.6154,982.978,56.4898,2
263.148,2.1233,8.8009,0.0412,926.266,43.5922,3
268.042,247.025,8.9183,8.5121,941.377,41.381,2
253.434,2.1335,9.1233,0.0478,961.682,51.1437,3
260.28,242.369,8.0721,7.6255,849.195,50.7372,2
260.17,201.393,8.7229,8.372,915.492,47.0459,1
257.7,239.654,8.0926,7.6625,837.529,48.85,2
261.127,203.371,9.3581,9.0209,991.193,44.8433,1
253.659,234.566,8.9399,8.4085,938.357,51.3146,2
292.495,262.578,5.0438,4.9537,554.559,27.485,4
273.981,274.48,7.2758,7.2127,813.593,41.2437,0
252.528,2.1523,8.8736,0.0464,934.076,53.1201,3
259.366,205.819,9.1126,8.6174,955.119,46.0422,1
267.026,270.969,7.9776,7.8854,879.063,45.7282,0
261.117,244.294,8.7461,8.2132,910.605,47.0792,2
293.866,355.792,2.9446,0.0885,483.383,11.2889,4
284.434,270.584,0.9467,0.7416,173.193,35.3607,4
314.356,261.203,3.2769,4.2647,509.787,21.5423,0
1.6663,266.644,0.1021,9.1199,992.57,49.1001,3
285.87,282.25,7.4774,7.5114,844.524,32.9187,0
279.854,262.438,4.1818,3.899,516.438,38.8071,4
286.662,286.852,7.4584,7.4254,857.599,29.5156,0
255.433,2.1402,9.0634,0.0483,961.902,51.1398,3
254.627,2.1398,8.8784,0.0467,933.709,51.7721,3
257.993,257.602,8.229,8.1888,910.848,53.1671,0
1.6662,272.897,0.1078,9.0111,995.009,42.495,3
1.587,264.972,0.1132,8.8597,957.218,52.6869,3
260.656,245.78,9.0823,8.4722,956.759,46.0644,2
264.694,268.851,7.8662,7.6329,888.852,48.2095,0
276.542,265.459,6.5478,6.3455,705.439,37.2894,0
257.361,241.777,9.1336,8.5288,955.836,47.376,2
262.353,2.1675,9.1115,0.0462,955.865,42.7658,3
1.6027,267.046,0.1178,8.7619,957.415,52.3173,3
263.111,199.142,7.8592,7.7268,834.793,47.3907,1
259.024,281.425,6.756,5.608,744.635,51.6502,4
264.643,243.167,9.2072,8.7795,975.512,42.6037,2
255.211,2.116,8.9029,0.0474,937.805,52.1857,3
249.197,234.325,8.9309,8.2741,958.345,56.7503,2
293.533,291.645,7.3919,7.3736,862.87,25.2295,0
260.508,245.248,9.117,8.5286,957.349,45.7637,2
260.976,243.063,9.0755,8.5766,956.835,46.0746,2
270.621,263.871,6.6772,6.425,699.189,41.1781,0
254.818,238.876,8.2104,7.7083,839.01,48.6441,2
1.6164,277.278,0.1035,8.7104,966.921,45.9074,3
257.492,272.585,8.7692,8.2796,918.648,46.1568,0
267.075,206.42,9.0583,8.7641,963.167,42.4395,1
275.763,276.804,7.4894,7.3585,839.573,39.6251,0
268.395,250.359,3.7994,3.5575,401.652,33.8243,4
293.043,349.789,2.0516,0.0685,374.233,10.4308,4
302.083,281.401,3.0168,2.1968,340.556,21.2278,4
262.414,201.834,8.6165,8.3295,903.39,46.302,1
272.435,264.285,5.6626,5.4698,676.747,42.8189,0
287.772,311.976,5.2893,2.2674,577.4,29.9613,4
250.836,2.1504,9.1913,0.044,967.07,52.1462,3
1.6186,268.222,0.1102,8.603,934.903,47.436,3
270.694,259.183,6.8731,6.8898,738.789,44.3437,0
299.556,324.607,0.2835,0.1524,287.238,16.264,0
263.081,205.431,9.3071,8.9681,990.755,43.7908,1
287.439,332.984,6.7122,1.9179,739.8,30.2358,4
250.292,229.718,9.0102,8.5294,969.922,55.8831,2
255.53,234.796,8.9241,8.4347,940.844,50.976,2
267.261,317.483,7.9456,3.7291,835.646,41.1865,4
260.861,199.028,8.706,8.4702,909.519,45.2224,1
257.99,236.787,8.8721,8.4034,934.896,48.727,2
263.039,201.923,9.2985,9.0924,991.348,44.8042,1
259.313,236.279,8.8441,8.4281,936.165,48.5676,2
1.6415,272.979,0.1007,8.8864,990.163,49.3905,3
272.422,280.003,6.6101,6.3246,789.292,42.7141,0
1.5879,272.324,0.1065,8.5098,926.608,50.3931,3
255.383,196.394,8.7547,8.4922,921.57,52.8451,1
268.071,264.936,7.1327,6.8377,781.903,41.2716,0
274.594,301.63,4.4623,1.4094,493.318,42.4691,4
262.327,203.692,9.2786,8.9662,988.699,45.3026,1
250.686,227.096,8.8493,8.5044,952.835,56.3081,2
260.988,205.529,7.9494,7.5031,817.579,41.527,1
336.197,298.136,0.3676,2.8402,423.199,11.7294,4
257.15,237.05,8.9015,8.3901,936.073,48.9448,2
263.512,273.454,8.8902,8.5345,945.025,44.0453,0
263.129,203.712,8.6609,8.3168,909.805,45.671,1
263.452,268.636,8.6794,8.4409,926.82,44.75,0
268.47,203.174,8.7291,8.6685,922.412,41.1719,1
254.788,234.483,9.0055,8.5521,942.048,49.3476,2
298.062,298.555,4.2016,2.7975,461.15,22.9925,4
271.581,276.502,7.3147,7.1257,803.933,41.0432,0
257.768,194.105,8.9079,8.8098,947.353,49.9435,1
288.889,243.423,2.8805,2.7925,332.021,27.4008,4
275.592,265.11,5.3748,5.2207,648.697,42.0027,0
264.791,2.1587,9.0497,0.0444,953.869,42.2681,3
252.046,257.545,9.1585,8.8878,966.86,55.1297,0
278.839,314.982,6.9048,3.8554,765.388,37.3967,4
279.027,285.749,1.1791,1.1061,134.289,20.6965,0
259.499,200.158,9.0549,8.7824,940.734,44.5024,1
261.747,2.108,8.9691,0.0377,930.971,43.4883,3
1.5853,271.009,0.1132,8.5429,925.992,50.4772,3
258.999,352.008,4.5435,0.1107,558.693,19.3352,4
264.667,244.906,8.9496,8.4593,955.555,46.4889,2
271.528,236.628,5.5841,5.3128,623.825,39.4169,4
1.6246,277.412,0.1091,8.7146,967.173,46.1706,3
269.49,2.1211,8.1771,0.0413,865.376,40.0696,3
1.5879,269.858,0.1077,8.5995,928.776,50.1485,3
260.567,204.2,8.7105,8.2915,899.51,45.1807,1
257.797,2.1274,8.9509,0.0421,926.106,43.5184,3
248.681,2.1509,8.9863,0.0452,933.812,53.0278,3
251.35,292.969,7.2569,7.0158,830.582,20.8059,4
268.867,266.797,6.8694,6.5643,717.264,38.8774,0
264.138,308.151,6.1324,2.2939,677.955,48.2495,4
267.982,248.75,8.9344,8.4643,941.346,41.2002,2
283.772,275.237,0.9229,0.4003,156.964,24.1614,4
1.6186,275.923,0.1041,8.7429,967.388,46.1028,3
259.497,205.918,9.057,8.5527,938.839,44.0707,1
265.517,237.382,8.3436,8.1514,882.529,44.1791,2
266.348,262.286,7.3936,7.1254,809.436,41.6527,0
261.76,274.854,9.0669,8.6312,957.414,46.257,0
264.429,244.825,9.1772,8.7003,968.619,42.8035,2
264.955,2.1385,9.0953,0.0506,958.732,42.0355,3
264.447,247.109,9.08,8.508,966.958,44.3609,2
250.013,230.153,9.2703,8.675,992.156,53.5552,2
267.472,274.914,8.3475,8.1151,906.942,45.3359,0
258.333,198.45,8.9988,8.7089,955.54,48.381,1
1.6482,271.938,0.1015,8.8167,982.068,49.0772,3
340.871,325.003,0.487,0.2003,290.753,13.5074,4
255.944,2.1435,8.9863,0.0478,959.245,51.8864,3
260.879,205.863,9.0463,8.6242,947.044,45.0572,1
281.224,270.903,6.1939,6.0608,692.38,37.8932,0
247.811,230.382,9.1235,8.4777,969.659,54.6154,2
264.541,267.212,8.7351,8.5193,941.461,44.4986,0
311.131,244.727,2.9149,3.7562,460.358,29.4742,0
1.6171,270.607,0.1184,8.5449,933.845,47.596,3
264.807,202.105,8.956,8.7859,948.312,44.4004,1
259.526,207.132,9.0942,8.5635,948.096,45.4023,1
251.55,226.639,8.975,8.5768,966.685,54.5599,2
267.602,2.1575,9.0308,0.0452,957.043,41.7158,3
263.312,262.32,7.5241,7.4261,863.552,49.6834,0
259.451,323.647,7.5177,1.0567,787.62,48.7118,4
255.459,2.1525,8.9096,0.0472,934.001,51.0081,3
251.356,231.546,8.9407,8.4464,962.061,54.5193,2
252.444,2.1697,8.9033,0.0469,934.958,53.069,3
255.887,194.843,8.7268,8.5333,914.222,51.7537,1
308.884,290.651,1.8364,0.6102,290.251,23.9699,4
246.652,230.518,9.0157,8.3974,957.258,56.19,2
259.854,205.656,9.1044,8.664,955.771,47.6463,1
249.145,230.88,9.0559,8.5235,969.413,55.0696,2
267.01,2.161,9.0478,0.0456,956.54,41.74,3
270.873,245.535,3.7845,3.5682,415.776,39.4224,4
261.426,205.141,9.0344,8.6586,947.215,45.0583,1
276.933,281.466,7.5655,7.4077,835.804,36.1259,0
248.286,230.626,9.0297,8.4354,970.314,55.992,2
306.022,339.923,1.3573,0.0642,321.109,12.7633,4
256.851,244.281,8.094,7.4864,832.169,48.3566,2
257.827,197.402,8.7673,8.4971,913.631,47.931,1
252.124,254.098,9.0167,8.8874,956.818,55.841,0
263.655,249.217,9.0332,8.4086,941.013,41.9351,2
272.002,272.575,4.8035,4.3047,575.4,41.3189,4
306.395,305.189,2.6345,0.1227,307.584,19.4304,4
280.108,269.23,4.2488,3.7474,524.731,38.8105,4
263.874,272.75,7.074,6.7835,818.503,48.3712,0
267.334,244.357,9.324,8.9055,990.402,38.1788,2
262.043,2.1202,8.9366,0.039,928.157,43.3788,3
280.812,272.648,5.8374,5.6705,632.399,33.4432,0
1.5964,271.397,0.1114,8.4793,929.13,50.89,3
254.426,236.183,9.0048,8.476,942.433,49.2287,2
255.908,2.1337,9.0443,0.0462,962.744,50.9887,3
280.95,283.411,7.7139,7.5638,864.235,34.121,0
291.917,252.477,3.1121,2.9775,353.201,30.3996,4
272.592,303.646,4.5006,1.4124,493.398,42.4691,4
272.562,305.121,4.3671,0.6444,467.733,38.7644,4
265.694,2.1032,8.2354,0.0415,862.756,41.3138,3
257.916,213.479,8.6307,8.7578,906.618,50.8714,1
258.833,199.04,7.9875,7.7194,832.891,47.8933,1
264.985,208.186,9.1449,8.73,960.653,41.5586,1
264.279,246.1,9.1765,8.6409,971.683,43.2234,2
253.558,232.531,8.8465,8.4026,963.088,55.5723,2
254.61,2.1403,9.0133,0.0486,958.39,52.1114,3
266.082,300.283,7.8545,5.598,844.601,47.6104,4
255.433,198.184,8.7311,8.3814,917.083,52.3709,1
1.6159,273.164,0.1191,8.7277,958.286,47.0818,3
252.631,2.1409,8.9851,0.0461,940.698,52.465,3
266.132,2.1925,9.0212,0.0486,956.834,42.1701,3
252.394,2.1222,9.161,0.0491,959.93,51.077,3
271.747,283.028,8.057,7.7084,870.682,37.2661,0
260.037,1.8071,8.9142,0.0417,929.385,43.728,3
253.885,2.1431,9.112,0.0476,962.202,50.9887,3
252.536,263.973,9.0679,8.6208,949.502,53.0531,0
1.6198,272.413,0.1019,8.8459,966.456,45.684,3
259.978,203.242,9.0255,8.6496,952.554,47.3097,1
296.733,296.631,0.9813,0.7875,124.931,11.4866,0
246.071,226.977,9.1826,8.5987,971.881,56.0719,2
290.959,268.556,4.619,4.4377,498.935,28.1631,4
1.6141,270.239,0.1154,8.8,959.808,46.1723,3
277.992,273.187,6.9445,6.7635,769.719,35.7607,0
265.984,244.166,8.9139,8.546,956.407,46.0131,2
282.145,211.222,3.0406,0.8408,346.529,31.0987,4
258.537,309.966,7.6483,3.5937,799.885,45.838,4
272.986,254.624,5.3282,5.1211,556.283,38.7691,4
263.497,0.8741,9.1234,0.0364,951.27,42.4271,3
285.293,280.525,7.1193,7.021,839.435,31.0948,0
255.583,2.1388,8.8749,0.0461,934.657,51.246,3
245.58,226.019,9.1571,8.5939,964.008,54.3348,2
262.794,2.1144,8.8189,0.0426,925.066,43.6055,3
1.6039,269.247,0.1044,8.8403,965.738,50.1215,3
261.323,240.224,9.0226,8.5901,956.589,47.3377,2
1.607,271.773,0.1106,8.5197,925.562,50.3078,3
268.85,246.294,8.8676,8.5198,940.64,41.6247,2
257.432,238.852,8.0778,7.6768,834.11,49.1019,2
269.03,262.314,2.9995,2.3766,331.999,35.9873,4
262.158,2.0976,8.2243,0.041,855.184,43.4128,3
261.019,2.0895,8.2503,0.0409,854.955,43.421,3
263.1,241.207,8.4351,8.0173,882.316,44.3292,2
1.6013,272.955,0.1116,8.6609,958.111,49.1211,3
1.612,271.779,0.1137,8.5082,929.318,49.1224,3
254.24,234.401,8.9079,8.4369,967.764,54.1348,2
269.876,272.816,7.4374,7.2713,856.495,44.2161,0
254.854,233.865,8.9622,8.516,940.957,50.1427,2
277.266,283.712,7.7995,7.5844,876.308,35.3614,0
255.506,213.231,8.9845,9.1038,947.849,49.6989,1
275.638,294.854,4.6552,2.1973,493.124,35.0376,4
258.275,238.825,8.2186,7.7907,857.26,51.7081,2
265.681,205.624,7.8347,7.4909,822.202,42.2285,1
1.6107,275.477,0.1103,8.7545,967.209,46.6937,3
260.558,2.1674,9.0616,0.0452,950.601,44.7821,3
268.483,247.312,9.2629,8.787,988.303,37.8152,2
249.837,231.381,9.1267,8.4959,984.514,56.094,2
281.514,257.76,4.3415,4.1719,475.915,35.9418,4
264.088,246.444,9.1111,8.5759,966.98,44.106,2
1.6156,275.075,0.108,8.7635,968.008,48.8111,3
268.472,289.194,6.0565,4.2973,638.911,43.1822,4
268.63,271.881,7.6685,7.4619,890.399,45.6355,0
259.691,242.512,9.2049,8.662,968.545,45.0872,2
283.128,297.822,3.6473,0.4796,403.881,36.6076,4
1.6622,270.643,0.1066,8.9063,987.219,48.3812,3
1.5959,269.922,0.1159,8.6921,960.084,52.0769,3
266.605,2.1264,8.8343,0.0393,930.963,43.6833,3
258.045,202.807,9.0047,8.5129,952.956,48.0702,1
276.085,265.99,6.5003,6.3415,711.188,39.3359,0
304.686,236.504,3.5306,4.4474,528.409,32.8936,0
298.596,260.741,3.2547,3.1108,364.147,23.7346,4
261.271,246.672,9.0662,8.4518,956.422,46.0716,2
249.856,225.171,9.2292,8.7851,985.786,53.7049,2
261.567,202.091,7.9605,7.6283,826.705,43.6076,1
271.443,296.949,4.5012,1.2801,479.528,39.5911,4
263.11,204.707,8.957,8.5931,938.067,45.0015,1
261.864,203.664,9.2138,8.8681,962.053,42.2198,1
266.993,244.599,9.2886,8.8517,993.061,40.3886,2
261.883,244.071,8.4894,7.9333,884.21,44.3929,2
265.126,2.1669,9.0269,0.0464,956.213,42.7675,3
253.958,241.896,8.2565,7.6252,843.125,49.4615,2
265.39,2.1076,8.3458,0.0404,869.766,41.0532,3
252.924,2.158,8.8784,0.0463,934.608,53.1827,3
280.542,280.569,1.917,0.9116,225.555,36.4664,4
260.099,239.413,8.6915,8.2854,904.011,47.1297,2
259.929,202.08,9.0914,8.8061,955.714,47.8561,1
252.326,199.122,9.1444,8.6697,955.661,49.2814,1
253.343,2.1368,9.1438,0.049,965.596,50.7401,3
259.655,206.656,9.0931,8.609,948.23,44.3116,1
262.367,258.876,6.5835,6.3228,696.845,48.7383,0
263.579,203.535,9.313,9.0608,992.113,44.3892,1
286.825,280.736,0.3075,0.5378,127.297,23.4712,4
256.617,2.1355,9.0152,0.0464,961.117,51.0464,3
267.743,208.607,9.0491,8.6898,960.353,42.2698,1
272.728,264.543,6.2783,6.0829,685.53,41.5477,0
289.63,287.977,7.5897,7.5697,874.151,26.1131,0
1.6594,270.353,0.1056,8.9997,987.845,44.6067,3
254.296,2.1486,8.956,0.0468,933.542,50.4057,3
260.03,205.508,9.3678,8.9177,987.368,43.6792,1
256.114,199.895,9.0437,8.6298,955.899,49.3055,1
359.926,345.676,0.2082,0.0529,299.237,4.9568,0
262.281,2.1622,9.0675,0.047,951.77,43.48,3
276.352,237.0,3.1946,3.0484,359.948,35.7083,4
257.736,204.868,9.4343,8.9473,986.628,43.6644,1
257.426,237.42,8.9095,8.4136,936.928,48.6469,2
258.959,199.325,8.7612,8.4582,909.349,45.237,1
253.068,2.1574,8.8604,0.044,933.331,53.0416,3
305.793,325.749,1.5683,0.2112,264.124,13.3978,4
263.593,200.075,8.9307,8.8119,950.262,46.769,1
258.635,196.643,9.0262,8.8029,959.577,48.4337,1
263.594,244.656,8.5407,8.0637,901.375,47.3167,2
264.791,242.579,9.1315,8.7564,962.316,41.8823,2
252.094,231.998,9.0581,8.5003,980.181,55.0824,2
260.716,201.897,9.0104,8.7254,954.577,47.3772,1
275.671,278.778,7.1113,6.9668,833.468,41.6979,0
302.957,261.892,3.0444,3.5323,470.638,37.5024,0
262.335,203.688,9.3551,9.0636,990.491,42.6925,1
1.6139,270.259,0.1132,8.8181,961.718,48.0975,3
262.375,313.191,7.9296,3.8088,820.465,44.2193,4
257.74,356.109,3.1424,0.0676,412.207,10.0965,4
264.727,242.929,9.0574,8.6521,967.815,44.7308,2
259.557,263.671,7.1346,6.8919,793.64,51.4177,0
253.705,235.501,8.7666,8.2373,958.337,56.7606,2
1.651,271.3,0.1087,8.9947,992.927,48.8229,3
263.128,199.116,7.8658,7.7427,835.08,47.3199,1
266.659,260.175,7.0422,6.8195,745.297,44.846,0
265.587,2.1324,8.323,0.0418,865.789,40.079,3
258.61,246.1,8.0099,7.3915,827.734,48.0738,2
261.535,203.26,9.0662,8.7662,956.386,47.1422,1
1.609,269.355,0.1106,8.5502,929.631,51.0703,3
258.718,350.082,5.0164,0.1421,611.085,21.9316,4
265.299,354.428,4.5235,0.1141,558.599,16.0179,4
265.398,268.816,7.242,7.0518,844.795,48.7751,0
263.721,243.413,9.0847,8.6462,950.07,41.9796,2
305.457,242.986,1.989,2.216,316.86,30.5591,4
277.659,255.765,5.0519,4.8983,534.868,35.2168,4
271.811,245.615,8.7881,8.6119,952.141,42.0054,2
275.981,286.665,7.5579,7.198,827.341,35.9252,0
268.46,247.592,9.2321,8.7493,987.219,38.1843,2
254.879,2.1427,8.9183,0.0454,937.115,51.4546,3
268.585,246.618,4.0995,3.8209,439.608,39.6738,4
285.118,237.998,2.4018,2.2525,277.272,33.3428,4
264.087,2.0888,8.7538,0.0412,923.011,43.5924,3
275.116,272.049,4.784,4.4935,576.659,39.8864,0
267.121,312.537,7.9126,4.7303,828.55,42.4209,4
304.616,269.684,3.5173,2.4981,522.994,32.6866,4
263.354,207.133,8.9545,8.5711,926.928,41.527,1
260.451,242.269,8.0457,7.6076,842.511,48.985,2
276.045,264.823,5.6812,5.5878,694.13,40.5801,0
261.698,245.257,8.6544,8.0805,904.449,46.7947,2
278.47,282.045,1.9528,0.9041,227.31,36.6803,4
248.115,228.658,9.1284,8.5716,980.447,56.6989,2
252.038,2.1368,8.9899,0.0467,935.52,51.2827,3
262.479,204.565,9.001,8.6679,945.485,44.7523,1
273.043,278.284,7.9722,7.7367,881.762,39.0604,0
264.428,247.865,9.1967,8.6159,969.977,42.2148,2
267.934,249.127,8.912,8.4331,941.092,41.4256,2
257.17,2.1558,9.126,0.0456,945.774,44.9458,3
262.308,306.995,7.8869,4.2156,829.231,47.5348,4
252.335,257.535,9.1325,8.8746,967.146,55.6824,0
266.464,272.563,6.6782,6.4232,780.201,46.9003,0
254.1,235.765,9.0964,8.5648,971.713,51.456,2
264.189,246.944,9.0244,8.4954,940.901,41.7527,2
266.574,244.335,9.3239,8.8803,991.806,38.6835,2
262.188,262.781,7.4357,7.0157,770.84,42.6001,0
255.81,197.644,8.7077,8.406,918.42,52.8615,1
306.609,327.865,0.2756,0.1462,336.426,16.323,0
283.301,332.05,6.8764,2.2786,747.818,31.3572,4
263.412,204.184,9.2517,8.9914,989.009,44.2604,1
259.289,2.1222,8.9177,0.0396,925.726,43.0818,3
270.388,271.959,7.4504,7.2786,874.357,44.1064,0
271.688,272.968,7.5764,7.4925,865.057,43.0126,0
265.014,201.902,8.7882,8.6435,923.013,42.8069,1
1.599,271.7,0.1112,8.678,957.571,52.5436,3
270.181,272.397,7.6688,7.2917,827.427,36.0836,0
262.936,269.109,8.6866,8.3746,937.822,46.0675,0
263.184,2.1501,9.0896,0.0436,952.993,42.4216,3
304.909,240.963,2.731,3.028,417.755,29.9315,4
272.366,263.919,5.3041,5.0642,580.791,39.9398,0
264.775,2.1707,9.0265,0.0456,956.306,42.861,3
277.565,286.767,2.5739,0.967,294.785,38.6446,4
266.87,285.722,6.9916,5.8929,774.811,47.2905,4
278.786,279.234,1.3021,0.9761,158.211,35.0485,4
249.786,256.316,8.979,8.6563,903.547,54.1339,0
261.693,210.273,8.6827,7.9878,897.266,44.7602,1
271.772,274.656,6.6246,6.4725,793.878,43.9791,0
261.863,202.439,9.3154,9.0477,986.57,43.5441,1
309.622,287.097,0.4411,0.2999,131.316,22.8772,0
252.721,235.696,8.4346,7.9095,911.625,55.4831,2
276.553,322.012,6.6722,1.9055,727.393,39.9508,4
275.443,276.515,7.86,7.7359,895.02,40.3365,0
255.542,236.966,8.966,8.438,937.753,48.7664,2
1.611,269.861,0.1095,8.6791,957.3,52.6144,3
277.558,282.982,3.2719,1.2776,364.478,33.6285,4
259.736,238.924,9.0694,8.6283,956.119,47.3427,2
267.673,2.1156,8.2452,0.04,867.258,40.4995,3
262.796,203.832,9.2847,8.9983,987.654,43.6109,1
275.58,263.412,0.8197,0.6447,100.906,33.8925,0
